iso_code,continent,location,date
AFG,Asia,Afghanistan,1/5/2020
AFG,Asia,Afghanistan,1/6/2020
AFG,Asia,Afghanistan,1/7/2020
AFG,Asia,Afghanistan,1/8/2020
AFG,Asia,Afghanistan,1/9/2020
AFG,Asia,Afghanistan,1/10/2020
AFG,Asia,Afghanistan,1/11/2020
AFG,Asia,Afghanistan,1/12/2020
AFG,Asia,Afghanistan,1/13/2020
AFG,Asia,Afghanistan,1/14/2020
AFG,Asia,Afghanistan,1/15/2020
AFG,Asia,Afghanistan,1/16/2020
AFG,Asia,Afghanistan,1/17/2020
AFG,Asia,Afghanistan,1/18/2020
AFG,Asia,Afghanistan,1/19/2020
AFG,Asia,Afghanistan,1/20/2020
AFG,Asia,Afghanistan,1/21/2020
AFG,Asia,Afghanistan,1/22/2020
AFG,Asia,Afghanistan,1/23/2020
AFG,Asia,Afghanistan,1/24/2020
AFG,Asia,Afghanistan,1/25/2020
AFG,Asia,Afghanistan,1/26/2020
AFG,Asia,Afghanistan,1/27/2020
AFG,Asia,Afghanistan,1/28/2020
AFG,Asia,Afghanistan,1/29/2020
AFG,Asia,Afghanistan,1/30/2020
AFG,Asia,Afghanistan,1/31/2020
AFG,Asia,Afghanistan,2/1/2020
AFG,Asia,Afghanistan,2/2/2020
AFG,Asia,Afghanistan,2/3/2020
AFG,Asia,Afghanistan,2/4/2020
AFG,Asia,Afghanistan,2/5/2020
AFG,Asia,Afghanistan,2/6/2020
AFG,Asia,Afghanistan,2/7/2020
AFG,Asia,Afghanistan,2/8/2020
AFG,Asia,Afghanistan,2/9/2020
AFG,Asia,Afghanistan,2/10/2020
AFG,Asia,Afghanistan,2/11/2020
AFG,Asia,Afghanistan,2/12/2020
AFG,Asia,Afghanistan,2/13/2020
AFG,Asia,Afghanistan,2/14/2020
AFG,Asia,Afghanistan,2/15/2020
AFG,Asia,Afghanistan,2/16/2020
AFG,Asia,Afghanistan,2/17/2020
AFG,Asia,Afghanistan,2/18/2020
AFG,Asia,Afghanistan,2/19/2020
AFG,Asia,Afghanistan,2/20/2020
AFG,Asia,Afghanistan,2/21/2020
AFG,Asia,Afghanistan,2/22/2020
AFG,Asia,Afghanistan,2/23/2020
AFG,Asia,Afghanistan,2/24/2020
AFG,Asia,Afghanistan,2/25/2020
AFG,Asia,Afghanistan,2/26/2020
AFG,Asia,Afghanistan,2/27/2020
AFG,Asia,Afghanistan,2/28/2020
AFG,Asia,Afghanistan,2/29/2020
AFG,Asia,Afghanistan,3/1/2020
AFG,Asia,Afghanistan,3/2/2020
AFG,Asia,Afghanistan,3/3/2020
AFG,Asia,Afghanistan,3/4/2020
AFG,Asia,Afghanistan,3/5/2020
AFG,Asia,Afghanistan,3/6/2020
AFG,Asia,Afghanistan,3/7/2020
AFG,Asia,Afghanistan,3/8/2020
AFG,Asia,Afghanistan,3/9/2020
AFG,Asia,Afghanistan,3/10/2020
AFG,Asia,Afghanistan,3/11/2020
AFG,Asia,Afghanistan,3/12/2020
AFG,Asia,Afghanistan,3/13/2020
AFG,Asia,Afghanistan,3/14/2020
AFG,Asia,Afghanistan,3/15/2020
AFG,Asia,Afghanistan,3/16/2020
AFG,Asia,Afghanistan,3/17/2020
AFG,Asia,Afghanistan,3/18/2020
AFG,Asia,Afghanistan,3/19/2020
AFG,Asia,Afghanistan,3/20/2020
AFG,Asia,Afghanistan,3/21/2020
AFG,Asia,Afghanistan,3/22/2020
AFG,Asia,Afghanistan,3/23/2020
AFG,Asia,Afghanistan,3/24/2020
AFG,Asia,Afghanistan,3/25/2020
AFG,Asia,Afghanistan,3/26/2020
AFG,Asia,Afghanistan,3/27/2020
AFG,Asia,Afghanistan,3/28/2020
AFG,Asia,Afghanistan,3/29/2020
AFG,Asia,Afghanistan,3/30/2020
AFG,Asia,Afghanistan,3/31/2020
AFG,Asia,Afghanistan,4/1/2020
AFG,Asia,Afghanistan,4/2/2020
AFG,Asia,Afghanistan,4/3/2020
AFG,Asia,Afghanistan,4/4/2020
AFG,Asia,Afghanistan,4/5/2020
AFG,Asia,Afghanistan,4/6/2020
AFG,Asia,Afghanistan,4/7/2020
AFG,Asia,Afghanistan,4/8/2020
AFG,Asia,Afghanistan,4/9/2020
AFG,Asia,Afghanistan,4/10/2020
AFG,Asia,Afghanistan,4/11/2020
AFG,Asia,Afghanistan,4/12/2020
AFG,Asia,Afghanistan,4/13/2020
AFG,Asia,Afghanistan,4/14/2020
AFG,Asia,Afghanistan,4/15/2020
AFG,Asia,Afghanistan,4/16/2020
AFG,Asia,Afghanistan,4/17/2020
AFG,Asia,Afghanistan,4/18/2020
AFG,Asia,Afghanistan,4/19/2020
AFG,Asia,Afghanistan,4/20/2020
AFG,Asia,Afghanistan,4/21/2020
AFG,Asia,Afghanistan,4/22/2020
AFG,Asia,Afghanistan,4/23/2020
AFG,Asia,Afghanistan,4/24/2020
AFG,Asia,Afghanistan,4/25/2020
AFG,Asia,Afghanistan,4/26/2020
AFG,Asia,Afghanistan,4/27/2020
AFG,Asia,Afghanistan,4/28/2020
AFG,Asia,Afghanistan,4/29/2020
AFG,Asia,Afghanistan,4/30/2020
AFG,Asia,Afghanistan,5/1/2020
AFG,Asia,Afghanistan,5/2/2020
AFG,Asia,Afghanistan,5/3/2020
AFG,Asia,Afghanistan,5/4/2020
AFG,Asia,Afghanistan,5/5/2020
AFG,Asia,Afghanistan,5/6/2020
AFG,Asia,Afghanistan,5/7/2020
AFG,Asia,Afghanistan,5/8/2020
AFG,Asia,Afghanistan,5/9/2020
AFG,Asia,Afghanistan,5/10/2020
AFG,Asia,Afghanistan,5/11/2020
AFG,Asia,Afghanistan,5/12/2020
AFG,Asia,Afghanistan,5/13/2020
AFG,Asia,Afghanistan,5/14/2020
AFG,Asia,Afghanistan,5/15/2020
AFG,Asia,Afghanistan,5/16/2020
AFG,Asia,Afghanistan,5/17/2020
AFG,Asia,Afghanistan,5/18/2020
AFG,Asia,Afghanistan,5/19/2020
AFG,Asia,Afghanistan,5/20/2020
AFG,Asia,Afghanistan,5/21/2020
AFG,Asia,Afghanistan,5/22/2020
AFG,Asia,Afghanistan,5/23/2020
AFG,Asia,Afghanistan,5/24/2020
AFG,Asia,Afghanistan,5/25/2020
AFG,Asia,Afghanistan,5/26/2020
AFG,Asia,Afghanistan,5/27/2020
AFG,Asia,Afghanistan,5/28/2020
AFG,Asia,Afghanistan,5/29/2020
AFG,Asia,Afghanistan,5/30/2020
AFG,Asia,Afghanistan,5/31/2020
AFG,Asia,Afghanistan,6/1/2020
AFG,Asia,Afghanistan,6/2/2020
AFG,Asia,Afghanistan,6/3/2020
AFG,Asia,Afghanistan,6/4/2020
AFG,Asia,Afghanistan,6/5/2020
AFG,Asia,Afghanistan,6/6/2020
AFG,Asia,Afghanistan,6/7/2020
AFG,Asia,Afghanistan,6/8/2020
AFG,Asia,Afghanistan,6/9/2020
AFG,Asia,Afghanistan,6/10/2020
AFG,Asia,Afghanistan,6/11/2020
AFG,Asia,Afghanistan,6/12/2020
AFG,Asia,Afghanistan,6/13/2020
AFG,Asia,Afghanistan,6/14/2020
AFG,Asia,Afghanistan,6/15/2020
AFG,Asia,Afghanistan,6/16/2020
AFG,Asia,Afghanistan,6/17/2020
AFG,Asia,Afghanistan,6/18/2020
AFG,Asia,Afghanistan,6/19/2020
AFG,Asia,Afghanistan,6/20/2020
AFG,Asia,Afghanistan,6/21/2020
AFG,Asia,Afghanistan,6/22/2020
AFG,Asia,Afghanistan,6/23/2020
AFG,Asia,Afghanistan,6/24/2020
AFG,Asia,Afghanistan,6/25/2020
AFG,Asia,Afghanistan,6/26/2020
AFG,Asia,Afghanistan,6/27/2020
AFG,Asia,Afghanistan,6/28/2020
AFG,Asia,Afghanistan,6/29/2020
AFG,Asia,Afghanistan,6/30/2020
AFG,Asia,Afghanistan,7/1/2020
AFG,Asia,Afghanistan,7/2/2020
AFG,Asia,Afghanistan,7/3/2020
AFG,Asia,Afghanistan,7/4/2020
AFG,Asia,Afghanistan,7/5/2020
AFG,Asia,Afghanistan,7/6/2020
AFG,Asia,Afghanistan,7/7/2020
AFG,Asia,Afghanistan,7/8/2020
AFG,Asia,Afghanistan,7/9/2020
AFG,Asia,Afghanistan,7/10/2020
AFG,Asia,Afghanistan,7/11/2020
AFG,Asia,Afghanistan,7/12/2020
AFG,Asia,Afghanistan,7/13/2020
AFG,Asia,Afghanistan,7/14/2020
AFG,Asia,Afghanistan,7/15/2020
AFG,Asia,Afghanistan,7/16/2020
AFG,Asia,Afghanistan,7/17/2020
AFG,Asia,Afghanistan,7/18/2020
AFG,Asia,Afghanistan,7/19/2020
AFG,Asia,Afghanistan,7/20/2020
AFG,Asia,Afghanistan,7/21/2020
AFG,Asia,Afghanistan,7/22/2020
AFG,Asia,Afghanistan,7/23/2020
AFG,Asia,Afghanistan,7/24/2020
AFG,Asia,Afghanistan,7/25/2020
AFG,Asia,Afghanistan,7/26/2020
AFG,Asia,Afghanistan,7/27/2020
AFG,Asia,Afghanistan,7/28/2020
AFG,Asia,Afghanistan,7/29/2020
AFG,Asia,Afghanistan,7/30/2020
AFG,Asia,Afghanistan,7/31/2020
AFG,Asia,Afghanistan,8/1/2020
AFG,Asia,Afghanistan,8/2/2020
AFG,Asia,Afghanistan,8/3/2020
AFG,Asia,Afghanistan,8/4/2020
AFG,Asia,Afghanistan,8/5/2020
AFG,Asia,Afghanistan,8/6/2020
AFG,Asia,Afghanistan,8/7/2020
AFG,Asia,Afghanistan,8/8/2020
AFG,Asia,Afghanistan,8/9/2020
AFG,Asia,Afghanistan,8/10/2020
AFG,Asia,Afghanistan,8/11/2020
AFG,Asia,Afghanistan,8/12/2020
AFG,Asia,Afghanistan,8/13/2020
AFG,Asia,Afghanistan,8/14/2020
AFG,Asia,Afghanistan,8/15/2020
AFG,Asia,Afghanistan,8/16/2020
AFG,Asia,Afghanistan,8/17/2020
AFG,Asia,Afghanistan,8/18/2020
AFG,Asia,Afghanistan,8/19/2020
AFG,Asia,Afghanistan,8/20/2020
AFG,Asia,Afghanistan,8/21/2020
AFG,Asia,Afghanistan,8/22/2020
AFG,Asia,Afghanistan,8/23/2020
AFG,Asia,Afghanistan,8/24/2020
AFG,Asia,Afghanistan,8/25/2020
AFG,Asia,Afghanistan,8/26/2020
AFG,Asia,Afghanistan,8/27/2020
AFG,Asia,Afghanistan,8/28/2020
AFG,Asia,Afghanistan,8/29/2020
AFG,Asia,Afghanistan,8/30/2020
AFG,Asia,Afghanistan,8/31/2020
AFG,Asia,Afghanistan,9/1/2020
AFG,Asia,Afghanistan,9/2/2020
AFG,Asia,Afghanistan,9/3/2020
AFG,Asia,Afghanistan,9/4/2020
AFG,Asia,Afghanistan,9/5/2020
AFG,Asia,Afghanistan,9/6/2020
AFG,Asia,Afghanistan,9/7/2020
